Datetime,Ticker,Open,High,Low,Close,Volume
1996-03-18,EWJ,60.0,60.25,60.0,60.25,16300
1996-03-19,EWJ,60.0,60.0,60.0,60.0,2500
1996-03-20,EWJ,60.0,60.0,60.0,60.0,4350
1996-03-21,EWJ,60.5,61.5,60.5,61.5,18300
1996-03-22,EWJ,61.0,61.5,61.0,61.25,19825
1996-03-25,EWJ,62.0,62.0,61.25,61.75,65275
1996-03-26,EWJ,61.75,62.0,61.5,61.75,94075
1996-03-27,EWJ,62.25,62.5,62.0,62.25,24000
1996-03-28,EWJ,62.0,62.5,62.0,62.25,102575
1996-03-29,EWJ,62.5,63.0,62.5,62.75,254525
1996-04-01,EWJ,63.0,63.0,62.75,62.75,80875
1996-04-02,EWJ,63.0,63.25,63.0,63.25,6100
1996-04-03,EWJ,63.0,63.0,62.5,62.75,25775
1996-04-04,EWJ,62.75,63.0,62.75,63.0,25450
1996-04-08,EWJ,62.5,62.5,62.0,62.0,15525
1996-04-09,EWJ,62.75,63.0,62.5,63.0,276600
1996-04-10,EWJ,62.75,63.0,62.5,62.5,71350
1996-04-11,EWJ,62.5,62.75,62.5,62.5,1300
1996-04-12,EWJ,62.5,62.75,62.5,62.75,450
1996-04-15,EWJ,62.75,63.0,62.75,63.0,131250
1996-04-16,EWJ,62.75,63.25,62.75,63.0,60900
1996-04-17,EWJ,62.75,62.75,62.5,62.75,18300
1996-04-18,EWJ,63.0,63.25,62.75,63.0,21350
1996-04-19,EWJ,63.5,64.0,63.5,63.75,9750
1996-04-22,EWJ,64.5,65.75,64.5,65.75,35500
1996-04-23,EWJ,65.0,65.25,65.0,65.25,11975
1996-04-24,EWJ,65.25,66.0,65.25,66.0,260600
1996-04-25,EWJ,65.5,66.0,65.5,65.75,6550
1996-04-26,EWJ,66.25,66.25,65.5,66.0,7600
1996-04-29,EWJ,66.0,66.25,65.5,65.5,10700
1996-04-30,EWJ,65.75,65.75,65.5,65.75,10425
1996-05-01,EWJ,65.0,65.75,65.0,65.75,7175
1996-05-02,EWJ,64.5,65.25,64.5,65.0,15300
1996-05-03,EWJ,65.0,65.0,64.75,65.0,13475
1996-05-06,EWJ,65.0,65.25,64.5,64.75,44525
1996-05-07,EWJ,64.5,64.75,64.25,64.75,51075
1996-05-08,EWJ,65.0,65.0,64.0,65.0,5100
1996-05-09,EWJ,64.5,64.75,64.5,64.75,19275
1996-05-10,EWJ,64.5,64.5,64.0,64.25,4000
1996-05-13,EWJ,63.5,63.5,63.0,63.25,5100
1996-05-14,EWJ,63.75,63.75,63.5,63.75,13400
1996-05-15,EWJ,64.5,64.5,64.0,64.25,134775
1996-05-16,EWJ,64.5,64.5,64.0,64.5,2350
1996-05-17,EWJ,64.0,64.25,63.75,64.0,5625
1996-05-20,EWJ,64.0,64.0,63.75,63.75,1825
1996-05-21,EWJ,63.5,63.5,63.5,63.5,9950
1996-05-22,EWJ,63.5,63.5,63.25,63.25,650
1996-05-23,EWJ,63.0,63.0,62.5,62.75,7325
1996-05-24,EWJ,62.5,62.5,62.5,62.5,4050
1996-05-28,EWJ,62.0,62.5,62.0,62.5,11975
1996-05-29,EWJ,62.25,62.5,62.25,62.5,27875
1996-05-30,EWJ,63.0,63.0,62.25,62.75,4850
1996-05-31,EWJ,62.25,62.75,62.25,62.75,1875
1996-06-03,EWJ,62.25,62.25,61.75,61.75,2600
1996-06-04,EWJ,61.75,62.25,61.75,62.25,1025
1996-06-05,EWJ,62.25,62.25,61.75,62.0,8800
1996-06-06,EWJ,62.0,62.0,62.0,62.0,2150
1996-06-07,EWJ,61.0,61.5,61.0,61.5,9875
1996-06-10,EWJ,61.5,61.5,61.0,61.5,14700
1996-06-11,EWJ,61.75,61.75,61.75,61.75,225
1996-06-12,EWJ,62.0,62.5,62.0,62.5,20525
1996-06-13,EWJ,62.5,62.75,62.0,62.75,26700
1996-06-14,EWJ,62.75,63.25,62.75,63.0,79225
1996-06-17,EWJ,63.0,63.0,62.5,62.75,14525
1996-06-18,EWJ,63.25,63.5,63.25,63.5,29625
1996-06-19,EWJ,63.5,63.75,63.25,63.75,8500
1996-06-20,EWJ,63.75,64.0,63.5,64.0,2500
1996-06-21,EWJ,63.5,64.5,63.5,64.5,36225
1996-06-24,EWJ,64.75,64.75,63.5,63.5,131350
1996-06-25,EWJ,63.75,64.0,63.25,63.25,20200
1996-06-26,EWJ,63.75,63.75,63.5,63.5,5050
1996-06-27,EWJ,63.5,63.5,63.5,63.5,2350
1996-06-28,EWJ,63.5,63.5,63.5,63.5,725
1996-07-01,EWJ,63.0,63.25,63.0,63.25,2250
1996-07-02,EWJ,62.5,62.75,62.0,62.5,4725
1996-07-03,EWJ,62.5,62.5,62.5,62.5,225
1996-07-05,EWJ,62.0,62.0,61.25,61.25,925
1996-07-08,EWJ,61.0,61.25,60.5,60.75,5450
1996-07-09,EWJ,60.75,61.0,60.5,61.0,37700
1996-07-10,EWJ,60.75,60.75,60.25,60.75,31350
1996-07-11,EWJ,60.5,60.75,60.0,60.0,32000
1996-07-12,EWJ,60.0,60.25,60.0,60.25,4775
1996-07-15,EWJ,60.0,60.0,59.5,59.75,9900
1996-07-16,EWJ,59.25,60.25,59.25,60.0,17300
1996-07-17,EWJ,60.5,60.5,60.25,60.25,1150
1996-07-18,EWJ,60.75,61.5,60.75,61.25,20425
1996-07-19,EWJ,61.0,61.0,60.25,60.5,875
